"length","weight"
11.2,45.9
15.4,66.9
8.8,24.8
15.6,36.8
18.3,72.7
9.5,47.8
13.3,52.1
17.8,69.5
15.2,57.4
17.6,79.7
17.5,68.5
9,41.9
8.1,44.3
9,44.8
9.8,38.8
16.8,73.8
10.1,45.9
14.1,51.2
18.4,76.9
10.3,40.9
16.8,70
16.7,67.5
19.7,82.4
14.5,55.4
8.4,33.7
8.4,29.2
14.9,60.8
18.4,78.5
12.4,47.5
11.9,33.6
14.8,63.6
14.6,52.4
12.6,54.5
11.9,62.2
15.9,65.8
15.8,68.2
13,65.4
13.8,58.5
11.1,40.2
17.1,52.6
13.8,50.7
10.7,47.7
18.7,91.6
8.3,37.1
17.8,72.9
16.8,67.3
11,57.1
19.9,86.6
8.7,31
11.1,58.5
16.6,67.3
12.8,35
9.4,54.3
18.4,81.8
12.2,36.9
12.3,41.6
9.1,31.1
13.8,50.2
12.6,57.7
17.2,67.1
12.8,54.5
12.9,63.6
10.1,32.4
17.1,61
18.4,94
14.4,59.3
10.7,53.6
15.5,53.6
16.3,59.9
19.6,84
19.7,75.4
9.6,33.5
19.8,79.5
8.5,33.2
18.2,73
12.3,39.6
14.5,49.9
13.3,67.6
15.9,62.7
11.9,62.1
14.2,68.6
17.4,54.1
10.6,51.3
15.4,58.8
11.6,45.4
14,44.8
19.2,84.9
9.4,49.3
16.4,86
12.7,67.1
15.3,47.2
16.1,63.2
19.7,72.1
18.2,72.9
17.1,75.5
17.4,53.6
12.5,51.4
14.5,79
11.8,33.2
17.6,74.6
